"Service","Service Bundle","Service Code","Object","EXPENDITURE","REVENUE"
"1 Culture","1.1 Cultural Services","1.1.1 Centennial Hall","010 Personnel Costs",16000,0
"1 Culture","1.1 Cultural Services","1.1.1 Centennial Hall","020 Administrative Expenses",5500,0
"1 Culture","1.1 Cultural Services","1.1.1 Centennial Hall","040 Purchased Services",376500,0
"1 Culture","1.1 Cultural Services","1.1.1 Centennial Hall","050 Materials & Supplies",222524,0
"1 Culture","1.1 Cultural Services","1.1.1 Centennial Hall","060 Furniture & Equipment",5000,0
"1 Culture","1.1 Cultural Services","1.1.1 Centennial Hall","080 Other Expenses",90000,0
"1 Culture","1.1 Cultural Services","1.1.1 Centennial Hall","130 User Fees",0,-615500
"1 Culture","1.1 Cultural Services","1.1.2 Arts, Culture & Heri Adv & Fnd","010 Personnel Costs",209225,0
"1 Culture","1.1 Cultural Services","1.1.2 Arts, Culture & Heri Adv & Fnd","020 Administrative Expenses",9340,0
"1 Culture","1.1 Cultural Services","1.1.2 Arts, Culture & Heri Adv & Fnd","040 Purchased Services",322080,0
"1 Culture","1.1 Cultural Services","1.1.2 Arts, Culture & Heri Adv & Fnd","050 Materials & Supplies",2500,0
"1 Culture","1.1 Cultural Services","1.1.2 Arts, Culture & Heri Adv & Fnd","070 Transfers",1506600,0
"1 Culture","1.1 Cultural Services","1.1.3 Art Gallery & Museums","070 Transfers",1619000,0
"1 Culture","1.2 Heritage","1.2.1 Heritage","010 Personnel Costs",87426,0
"1 Culture","1.3 Libraries","1.3.1 Library Services","070 Transfers",18060000,0
"2 Economic Prosperity","2.1 Economic Development","2.1.1 LEDC(Business Attract Retent)","030 Financial Expenses",3181000,0
"2 Economic Prosperity","2.1 Economic Development","2.1.1 LEDC(Business Attract Retent)","040 Purchased Services",2683785,0
"2 Economic Prosperity","2.1 Economic Development","2.1.2 Community Improvement/BIA","010 Personnel Costs",96207,0
"2 Economic Prosperity","2.1 Economic Development","2.1.2 Community Improvement/BIA","040 Purchased Services",212204,0
"2 Economic Prosperity","2.1 Economic Development","2.1.2 Community Improvement/BIA","070 Transfers",10000,0
"2 Economic Prosperity","2.1 Economic Development","2.1.2 Community Improvement/BIA","140 Other Municipal Revenues",0,-106102
"2 Economic Prosperity","2.1 Economic Development","2.1.3 LCC (Convs, Mtgs & Events Att)","070 Transfers",600000,0
"2 Economic Prosperity","2.1 Economic Development","2.1.6 Tourism Ldn(Tour Sp Attr Serv)","070 Transfers",1767282,0
"3 Environmental Services","3.1 Conservation Authorities","3.1.1 K.C.C.A.","070 Transfers",351659,0
"3 Environmental Services","3.1 Conservation Authorities","3.1.2 L.T.V.C.A.","070 Transfers",84194,0
"3 Environmental Services","3.1 Conservation Authorities","3.1.3 U.T.R.C.A.","070 Transfers",2550449,0
"3 Environmental Services","3.2 Environmental Stewardship","3.2.1 Environmental Programs","010 Personnel Costs",524908,0
"3 Environmental Services","3.2 Environmental Stewardship","3.2.1 Environmental Programs","020 Administrative Expenses",500,0
"3 Environmental Services","3.2 Environmental Stewardship","3.2.1 Environmental Programs","040 Purchased Services",242818,0
"3 Environmental Services","3.2 Environmental Stewardship","3.2.1 Environmental Programs","050 Materials & Supplies",3000,0
"3 Environmental Services","3.2 Environmental Stewardship","3.2.1 Environmental Programs","060 Furniture & Equipment",5625,0
"3 Environmental Services","3.2 Environmental Stewardship","3.2.1 Environmental Programs","140 Other Municipal Revenues",0,-103935
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.1 Recycling & Composting","010 Personnel Costs",672484,0
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.1 Recycling & Composting","020 Administrative Expenses",1600,0
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.1 Recycling & Composting","040 Purchased Services",9202429,0
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.1 Recycling & Composting","050 Materials & Supplies",4390,0
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.1 Recycling & Composting","060 Furniture & Equipment",33417,0
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.1 Recycling & Composting","130 User Fees",0,-140000
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.1 Recycling & Composting","140 Other Municipal Revenues",0,-5150000
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.2 Garbage Collection & Disposal","010 Personnel Costs",6596219,0
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.2 Garbage Collection & Disposal","020 Administrative Expenses",83575,0
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.2 Garbage Collection & Disposal","030 Financial Expenses",506000,0
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.2 Garbage Collection & Disposal","040 Purchased Services",437500,0
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.2 Garbage Collection & Disposal","050 Materials & Supplies",286135,0
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.2 Garbage Collection & Disposal","060 Furniture & Equipment",4478746,0
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.2 Garbage Collection & Disposal","080 Other Expenses",505904,0
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.2 Garbage Collection & Disposal","090 Recovered Expenses",-110000,0
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.2 Garbage Collection & Disposal","130 User Fees",0,-3988000
"3 Environmental Services","3.3 Garbage Recycling & Composting","3.3.2 Garbage Collection & Disposal","140 Other Municipal Revenues",0,-222600
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.1 Aquatics","010 Personnel Costs",2795134,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.1 Aquatics","020 Administrative Expenses",26500,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.1 Aquatics","040 Purchased Services",65580,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.1 Aquatics","050 Materials & Supplies",275727,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.1 Aquatics","060 Furniture & Equipment",93460,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.1 Aquatics","130 User Fees",0,-2460172
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.1 Aquatics","140 Other Municipal Revenues",0,-4000
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.2 Arenas","010 Personnel Costs",3944578,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.2 Arenas","020 Administrative Expenses",74350,0
